char_simpl,char_trad,ucn,all_readings,unique_bases,mandarin_raw,hanyupinyin_raw,definition,reading_sources
厱,厱,U+53B1,lán qiān,lan qian,lán,"10080.120:lán,qiān",,"kMandarin,kHanyuPinyin"
厉,厲,U+53B2,lì lài,li lai,lì,"10077.170:lì,lài","whetstone; grind, sharpen; whet","kMandarin,kHanyuPinyin"
厶,厶,U+53B6,sī mǒu,si mou,sī,"10383.090:sī,mǒu","private, secret; Kangxi radical 28","kMandarin,kHanyuPinyin"
厷,厷,U+53B7,gōng hóng,gong hong,gōng,"10384.040:gōng,hóng",the fore-arm; most Chinese-English dictionaries give the upper-arm; round,"kMandarin,kHanyuPinyin"
厸,厸,U+53B8,lín min,lin min,lín,"10384.070:lín,min",,"kMandarin,kHanyuPinyin"
厹,厹,U+53B9,róu qiú,rou qiu,róu,"10384.050:róu,qiú",spear; tribe,"kMandarin,kHanyuPinyin"
叀,叀,U+53C0,zhuān huì,zhuan hui,zhuān,"10386.120:zhuān,huì",,"kMandarin,kHanyuPinyin"
参,參,U+53C3,cān shēn sān cēn càn sǎn,can shen san cen,cān,"10387.230:shēn,sān,cān,cēn,càn,sǎn","take part in, intervene; ginseng","kMandarin,kHanyuPinyin"
叓,叓,U+53D3,shì lì,shi li,shì,"10394.100:shì,lì","affair, matter; work","kMandarin,kHanyuPinyin"
叕,叕,U+53D5,zhuó yǐ lì jué,zhuo yi li jue,zhuó,"10397.040:zhuó,yǐ,lì,jué",to connect,"kMandarin,kHanyuPinyin"
受,受,U+53D7,shòu dào,shou dao,shòu,"10396.020:shòu,dào","receive, accept, get; bear, stand","kMandarin,kHanyuPinyin"
叚,叚,U+53DA,xiá jiǎ,xia jia,xiá jiǎ,"10398.040:jiǎ,xiá",FALSE,"kMandarin,kHanyuPinyin"
叟,叟,U+53DF,sǒu sōu xiāo,sou xiao,sǒu,"10399.010:sōu,sǒu,xiāo",old man; elder,"kMandarin,kHanyuPinyin"
古,古,U+53E4,gǔ gù kū,gu ku,gǔ,"10568.030:gǔ,gù,kū","old, classic, ancient","kMandarin,kHanyuPinyin"
句,句,U+53E5,jù gōu gòu qú,ju gou qu,jù,"10571.030:gōu,gòu,jù,qú",sentence,"kMandarin,kHanyuPinyin"
叨,叨,U+53E8,dāo tāo,dao tao,dāo,"10574.010:tāo,dāo",talkative; quarrelous,"kMandarin,kHanyuPinyin"
召,召,U+53EC,zhào shào,zhao shao,zhào,"10574.030:zhào,shào",imperial decree; summon,"kMandarin,kHanyuPinyin"
叭,叭,U+53ED,bā pā ba,ba pa,bā,"10570.060:pā,bā,ba",trumpet,"kMandarin,kHanyuPinyin"
可,可,U+53EF,kě gē kè,ke ge,kě,"10567.070:kě,gē,kè","may, can, -able; possibly","kMandarin,kHanyuPinyin"
台,台,U+53F0,tái yí sì,tai yi si,tái,"10575.020:yí,tái,sì",platform; unit; term of address,"kMandarin,kHanyuPinyin"
叱,叱,U+53F1,chì huà é,chi hua e,chì,"10572.060:huà,é","scold, shout at, bawl out","kMandarin,kHanyuPinyin"
