char_simpl,char_trad,ucn,all_readings,unique_bases,mandarin_raw,hanyupinyin_raw,definition,reading_sources
憕,憕,U+6195,chéng zhèng dèng,cheng zheng deng,chéng,"42357.090:chéng,zhèng,dèng",,"kMandarin,kHanyuPinyin"
憖,憖,U+6196,yìn xìn yín,yin xin,yìn,"42349.140:yìn,xìn,yín","cautious; willing; but, moreover","kMandarin,kHanyuPinyin"
惮,憚,U+619A,dàn dá chǎn,dan da chan,dàn,"42354.080:dàn,dá,chǎn","dread, shrink from, shirk, fear","kMandarin,kHanyuPinyin"
憞,憞,U+619E,duì dùn tūn,dui dun tun,duì,"42356.020:duì,dùn,tūn",,"kMandarin,kHanyuPinyin"
憢,憢,U+61A2,xiāo jiāo,xiao jiao,xiāo,"42352.080:xiāo,jiāo",,"kMandarin,kHanyuPinyin"
憧,憧,U+61A7,chōng zhuàng,chong zhuang,chōng,"42356.060:chōng,zhuàng","irresolute, indecisive; yearn for","kMandarin,kHanyuPinyin"
憹,憹,U+61B9,náo nóng náng nǎo,nao nong nang,náo,"42361.010:náo,nóng,náng,nǎo",upset; to regret,"kMandarin,kHanyuPinyin"
憾,憾,U+61BE,hàn dàn,han dan,hàn,"42360.120:hàn,dàn","to regret, remorse; dissatisfied","kMandarin,kHanyuPinyin"
憿,憿,U+61BF,jiǎo jī,jiao ji,jiǎo,"42361.070:jiǎo,jī",,"kMandarin,kHanyuPinyin"
懁,懁,U+61C1,xuān huān,xuan huan,xuān,"42361.040:xuān,huān","anxious, distressed","kMandarin,kHanyuPinyin"
懆,懆,U+61C6,cǎo sāo sào,cao sao,cǎo,"42361.020:cǎo,sāo,sào","anxious, apprehensive","kMandarin,kHanyuPinyin"
懊,懊,U+61CA,ào yù,ao yu,ào,"42361.080:ào,yù","vexed, worried, nervous; regret","kMandarin,kHanyuPinyin"
懔,懔,U+61D4,lǐn lǎn,lin lan,lǐn,"42362.090:lǐn,lǎn","be afraid of, to be in awe of","kMandarin,kHanyuPinyin"
懕,懕,U+61D5,yān yàn yè,yan ye,yān,"42363.070:yān,yàn,yè",satiated; contented,"kMandarin,kHanyuPinyin"
懝,懝,U+61DD,ài nì nǐ,ai ni,ài,"42365.030:ài,nì,nǐ",,"kMandarin,kHanyuPinyin"
懠,懠,U+61E0,qí jì jī,qi ji,qí,"42365.070:qí,jì,jī",angry,"kMandarin,kHanyuPinyin"
懢,懢,U+61E2,lán xiàn,lan xian,lán,"42364.140:lán,xiàn",,"kMandarin,kHanyuPinyin"
懒,懶,U+61F6,lǎn lài,lan lai,lǎn,"42368.120:lǎn,lài","lazy, languid, listless","kMandarin,kHanyuPinyin"
懽,懽,U+61FD,huān guàn,huan guan,huān,"42370.100:huān,guàn","happy, pleased, glad, joyous","kMandarin,kHanyuPinyin"
戂,戂,U+6202,mí mó,mi mo,mí,"42372.140:mí,mó",,"kMandarin,kHanyuPinyin"
戆,戇,U+6207,zhuàng gàng,zhuang gang,zhuàng,"42373.040:zhuàng,gàng","stupid, simple, simple-minded","kMandarin,kHanyuPinyin"
戌,戌,U+620C,xū qu,xu qu,xū,"21398.010:xū,qu",eleventh earthly branch,"kMandarin,kHanyuPinyin"
戎,戎,U+620E,róng rēng,rong reng,róng,"21397.080:róng,rēng","arms, armaments; military affair","kMandarin,kHanyuPinyin"
戋,戔,U+6214,jiān cán,jian can,jiān,"21402.060:cán,jiān","small, narrow, tiny, little","kMandarin,kHanyuPinyin"
戕,戕,U+6215,qiāng zāng,qiang zang,qiāng,"21403.070:qiāng,zāng","kill, slay; wound, injure, hurt","kMandarin,kHanyuPinyin"
或,或,U+6216,huò yù,huo yu,huò,"21402.080:yù,huò","or, either, else; perhaps, maybe","kMandarin,kHanyuPinyin"
戚,戚,U+621A,qī cù,qi cu,qī,"21406.150:qī,cù",relative; be related to; sad,"kMandarin,kHanyuPinyin"
戡,戡,U+6221,kān zhěn,kan zhen,kān,"21408.110:kān,zhěn","subjugate, subdue, quell; kill","kMandarin,kHanyuPinyin"
戗,戧,U+6227,qiāng chuāng qiàng,qiang chuang,qiāng,"21410.100:chuāng,qiāng,qiàng",support,"kMandarin,kHanyuPinyin"
戭,戭,U+622D,yǎn yǒu,yan you,yǎn,"21412.030:yǎn,yǒu",spear,"kMandarin,kHanyuPinyin"
戏,戲,U+6232,xì hū xī huī suō yī,xi hu hui suo yi,xì,"21413.130:xì,hū,xī,huī,suō,yī","theatrical play, show","kMandarin,kHanyuPinyin"
戺,戺,U+623A,shì yí,shi yi,shì,"32258.020:shì,yí",stone boarder; steps,"kMandarin,kHanyuPinyin"
房,房,U+623F,fáng páng,fang pang,fáng,"32260.040:fáng,páng","house, building; room; 4th lunar mansion, determinative star π Scorpii","kMandarin,kHanyuPinyin"
扁,扁,U+6241,biǎn piān biān pián,bian pian,biǎn,"32261.110:biǎn,piān,biān,pián","flat; tablet, signboard","kMandarin,kHanyuPinyin"
扄,扄,U+6244,shǎng jiōng,shang jiong,shǎng,"32263.010:shǎng,jiōng",large ring on a front door used as a knocker,"kMandarin,kHanyuPinyin"
才,才,U+624D,cái zāi,cai zai,cái,"31824.020:cái,zāi","talent, ability; just, only","kMandarin,kHanyuPinyin"
扎,扎,U+624E,zhā zhá zhǎ zā,zha za,zhā,"31825.030:zhá,zhā,zhǎ,zā",pull up; pierce; struggle free,"kMandarin,kHanyuPinyin"
扐,扐,U+6250,lè lì cái,le li cai,lè,"31827.100:lè,lì,cái",divine,"kMandarin,kHanyuPinyin"
扑,扑,U+6251,pū pì,pu pi,pū,"31827.020:pū,pì","pound, beat, strike; attack","kMandarin,kHanyuPinyin"
扒,扒,U+6252,bā bài bié pá,ba bai bie pa,bā,"31827.030:bā,bài,bié,pá",scratch; dig up; crawl; crouch,"kMandarin,kHanyuPinyin"
扚,扚,U+625A,diǎo dí yuē lì,diao di yue li,diǎo,"31831.060:diǎo,dí,yuē,lì",,"kMandarin,kHanyuPinyin"
扛,扛,U+625B,káng gāng,kang gang,káng,"31829.030:gāng,káng",carry on shoulders; lift,"kMandarin,kHanyuPinyin"
扜,扜,U+625C,yū wū,yu wu,yū,"31829.010:yū,wū",,"kMandarin,kHanyuPinyin"
扝,扝,U+625D,kū wū,ku wu,kū,"31829.020:kū,wū",,"kMandarin,kHanyuPinyin"
扞,扞,U+625E,hàn gǎn,han gan,hàn,"31828.060:hàn,gǎn","ward off, withstand, resist","kMandarin,kHanyuPinyin"
扠,扠,U+6260,chā chāi zhǎ,cha chai zha,chā,"31832.080:chāi,chā,zhǎ",pick up with fork or pincers,"kMandarin,kHanyuPinyin"
扡,扡,U+6261,tuō yǐ chǐ,tuo yi chi,tuō,"31832.050:tuō,yǐ,chǐ",drag along,"kMandarin,kHanyuPinyin"
扢,扢,U+6262,gǔ qì jié gē,gu qi jie ge,gǔ,"31831.030:gǔ,qì,jié,gē",caper,"kMandarin,kHanyuPinyin"
扭,扭,U+626D,niǔ chǒu zhǒu zhòu,niu chou zhou,niǔ,"31845.030:niǔ,chǒu,zhǒu,zhòu","turn, twist, wrench; seize, grasp","kMandarin,kHanyuPinyin"
扮,扮,U+626E,bàn fěn fēn huǒ,ban fen huo,bàn,"31840.080:fěn,fēn,bàn,huǒ",dress up; dress up as,"kMandarin,kHanyuPinyin"
扰,扰,U+6270,rǎo yòu,rao you,rǎo,"31834.090:yòu,rǎo","disturb, annoy, agitate","kMandarin,kHanyuPinyin"
扱,扱,U+6271,xī chā qì,xi cha qi,xī,"31831.080:xī,chā,qì","collect, draw in, gather; receive","kMandarin,kHanyuPinyin"
扲,扲,U+6272,qián qín,qian qin,qián,"31840.060:qián,qín",(Cant.) to pull out,"kMandarin,kHanyuPinyin"
扳,扳,U+6273,bān pān,ban pan,bān,"31840.010:pān,bān",pull; drag; right itself,"kMandarin,kHanyuPinyin"
扶,扶,U+6276,fú pú,fu pu,fú,"31833.020:fú,pú","support, help; protect; hold on","kMandarin,kHanyuPinyin"
扸,扸,U+6278,xī zhé,xi zhe,xī,"31838.040:xī,zhé",,"kMandarin,kHanyuPinyin"
扺,扺,U+627A,zhǐ qí,zhi qi,zhǐ,"31841.060:zhǐ,qí",to strike one's palm with one's fist,"kMandarin,kHanyuPinyin"
扻,扻,U+627B,zhì sǔn kǎn,zhi sun kan,zhì,"31842.010:zhì,sǔn,kǎn","to strike; to run against to throw, as a stone","kMandarin,kHanyuPinyin"
找,找,U+627E,zhǎo huá,zhao hua,zhǎo,"31835.040:huá,zhǎo","search, seek, look for; find","kMandarin,kHanyuPinyin"
承,承,U+627F,chéng zhěng zhèng,cheng zheng,chéng,"10054.030:chéng,zhěng,zhèng","inherit, receive; succeed","kMandarin,kHanyuPinyin"
技,技,U+6280,jì qí,ji qi,jì,"31834.040:jì,qí","skill, ability, talent, ingenuity","kMandarin,kHanyuPinyin"
抂,抂,U+6282,kuáng wǎng,kuang wang,kuáng,"31833.010:kuáng,wǎng",,"kMandarin,kHanyuPinyin"
抄,抄,U+6284,chāo suō chào chǎo,chao suo,chāo,"31836.060:chāo,suō,chào,chǎo","copy, confiscate, seize","kMandarin,kHanyuPinyin"
把,把,U+628A,bǎ bà pá,ba pa,bǎ,"31845.040:bǎ,bà,pá","hold, take; guard; regard as","kMandarin,kHanyuPinyin"
抌,抌,U+628C,dǎn shěn,dan shen,dǎn,"31844.040:dǎn,shěn","to bale out water, to dip","kMandarin,kHanyuPinyin"
抐,抐,U+6290,nè nì nà ruì,ne ni na rui,nè,"31837.050:nè,nì,nà,ruì",,"kMandarin,kHanyuPinyin"
投,投,U+6295,tóu dòu,tou dou,tóu,"31842.030:tóu,dòu","throw, cast, fling, pitch; jump","kMandarin,kHanyuPinyin"
抗,抗,U+6297,kàng gāng,kang gang,kàng,"31843.040:gāng,kàng","resist, oppose, defy, reject","kMandarin,kHanyuPinyin"
折,折,U+6298,zhé shé tí zhē,zhe she ti,zhé,"31838.070:zhé,shé,tí,zhē","break off, snap; bend","kMandarin,kHanyuPinyin"
抧,抧,U+62A7,zhǐ zhǎi,zhi zhai,zhǐ,"31853.020:zhǐ,zhǎi",,"kMandarin,kHanyuPinyin"
抨,抨,U+62A8,pēng bēng,peng beng,pēng,"31850.040:pēng,bēng","impeach, censure; attack","kMandarin,kHanyuPinyin"
抪,抪,U+62AA,bù pū bá,bu pu ba,bù,"31849.070:bù,pū,bá","to scatter, spread","kMandarin,kHanyuPinyin"
抬,抬,U+62AC,tái chī,tai chi,tái,"31862.040:chī,tái","lift, carry","kMandarin,kHanyuPinyin"
抭,抭,U+62AD,yǎo tāo,yao tao,yǎo,"31858.050:yǎo,tāo",,"kMandarin,kHanyuPinyin"
抱,抱,U+62B1,bào pāo pǒu,bao pao pou,bào,"31856.040:bào,pāo,pǒu","embrace, hold in arms, enfold","kMandarin,kHanyuPinyin"
抲,抲,U+62B2,hē hè qiā,he qia,hē,"31849.020:hē,hè,qiā",,"kMandarin,kHanyuPinyin"
抴,抴,U+62B4,yè shé,ye she,yè,"31849.010:yè,shé",to drag; to join,"kMandarin,kHanyuPinyin"
抵,抵,U+62B5,dǐ zhǐ qí,di zhi qi,dǐ,"31855.090:dǐ,zhǐ,qí","resist, oppose; deny; off-set","kMandarin,kHanyuPinyin"
抷,抷,U+62B7,pī pēi,pi pei,pī,"31849.050:pī,pēi",,"kMandarin,kHanyuPinyin"
抹,抹,U+62B9,mǒ mò mā,mo ma,mǒ,"31847.080:mǒ,mò,mā","smear, apply, wipe off, erase","kMandarin,kHanyuPinyin"
抻,抻,U+62BB,chēn shēn,chen shen,chēn,"31851.070:chēn,shēn",pull,"kMandarin,kHanyuPinyin"
押,押,U+62BC,yā xiá jiǎ,ya xia jia,yā,"31851.080:yā,xiá,jiǎ","mortgage, pledge; deposit; to pawn; to arrest, detain, guard","kMandarin,kHanyuPinyin"
拁,拁,U+62C1,jiā yá,jia ya,jiā,"31860.060:jiā,yá",,"kMandarin,kHanyuPinyin"
拂,拂,U+62C2,fú bì pì fèi,fu bi pi fei,fú,"31859.050:fú,bì,pì,fèi","shake off, brush away; dust","kMandarin,kHanyuPinyin"
拃,拃,U+62C3,zhǎ zhǎn zhà zhá,zha zhan,zhǎ,"31853.080:zhǎn,zhà,zhǎ,zhá","grope, press, span","kMandarin,kHanyuPinyin"
担,担,U+62C5,dān dǎn jiē dàn,dan jie,dān,"31851.040:dǎn,jiē,dān,dàn","carry, bear, undertake","kMandarin,kHanyuPinyin"
拆,拆,U+62C6,chāi chè chì cā,chai che chi ca,chāi,"31855.030:chāi,chè,chì,cā","to break up, split apart, rip open; to destroy","kMandarin,kHanyuPinyin"
拈,拈,U+62C8,niān niǎn diān,nian dian,niān,"31851.020:niān,niǎn,diān",pick up with fingers; draw lots,"kMandarin,kHanyuPinyin"
拊,拊,U+62CA,fǔ fū bǔ,fu bu,fǔ,"31854.020:fǔ,fū,bǔ",slap; pat; tap; handle of a vessel,"kMandarin,kHanyuPinyin"
拌,拌,U+62CC,bàn pān,ban pan,bàn,"31858.020:pān,bàn",mix,"kMandarin,kHanyuPinyin"
拍,拍,U+62CD,pāi bó,pai bo,pāi,"31854.030:pāi,bó","clap, tap, beat; beat or rhythm","kMandarin,kHanyuPinyin"
拎,拎,U+62CE,līn līng,lin ling,līn,31855.060:līng,to haul; to lift; to take,"kMandarin,kHanyuPinyin"
拓,拓,U+62D3,tà zhí tuò,ta zhi tuo,tà,"31849.060:zhí,tuò,tà",expand; open up; support or push,"kMandarin,kHanyuPinyin"
拔,拔,U+62D4,bá bō bié fá bèi,ba bo bie fa bei,bá,"31850.030:bá,bō,bié,fá,bèi","uproot, pull out","kMandarin,kHanyuPinyin"
拖,拖,U+62D6,tuō chǐ,tuo chi,tuō,"31853.100:tuō,chǐ","drag, tow, haul; delay, prolong","kMandarin,kHanyuPinyin"
拗,拗,U+62D7,ào ǎo niù yù,ao niu yu,ào,"31862.060:ǎo,ào,niù,yù","to pull, drag, break off, to pluck (a flower); bent, warped; perverse, obstinate","kMandarin,kHanyuPinyin"
拘,拘,U+62D8,jū gōu jǔ jú,ju gou,jū,"31856.010:jū,gōu,jǔ,jú","restrain, seize, detain","kMandarin,kHanyuPinyin"
拼,拚,U+62DA,pàn biàn fèn fān pīn,pan bian fen fan pin,pàn,"31862.030:biàn,fèn,fān,pīn,pàn","risk, disregard; go all out for","kMandarin,kHanyuPinyin"
招,招,U+62DB,zhāo qiáo sháo,zhao qiao shao,zhāo,"31860.070:zhāo,qiáo,sháo","beckon, summon; recruit, levy","kMandarin,kHanyuPinyin"
拮,拮,U+62EE,jié jiá,jie jia,jié,"31866.030:jié,jiá","laboring hard, occupied; pursue","kMandarin,kHanyuPinyin"
拱,拱,U+62F1,gǒng jú,gong ju,gǒng,"31867.020:gǒng,jú","fold hands on breast; bow, salute","kMandarin,kHanyuPinyin"
拴,拴,U+62F4,shuān quán,shuan quan,shuān,"31871.140:shuān,quán","bind with rope, fasten","kMandarin,kHanyuPinyin"
拵,拵,U+62F5,cún zùn,cun zun,cún,"31868.010:cún,zùn","to make, prepare, manufacture; workmanship; an arrangement","kMandarin,kHanyuPinyin"
拶,拶,U+62F6,zā zǎn,za zan,zā,"31877.050:zā,zǎn","press, squeeze hard; force","kMandarin,kHanyuPinyin"
拸,拸,U+62F8,yí chǐ hài,yi chi hai,yí,"31874.050:yí,chǐ,hài",,"kMandarin,kHanyuPinyin"
拺,拺,U+62FA,cè sè chuò,ce se chuo,cè,"31867.060:cè,sè,chuò",,"kMandarin,kHanyuPinyin"
拼,拼,U+62FC,pīn bìng,pin bing,pīn,"31875.080:pīn,bìng 31898.020:bìng,pīn","join together, link, incorporate","kMandarin,kHanyuPinyin"
拽,拽,U+62FD,zhuài yè zhuāi,zhuai ye,zhuài,"31869.030:yè,zhuài,zhuāi","drag, tow; throw; twist","kMandarin,kHanyuPinyin"
拾,拾,U+62FE,shí shè jiè,shi she jie,shí,"31872.010:shí,shè,jiè","pick up, collect, tidy up; accounting form of the numeral ten","kMandarin,kHanyuPinyin"
挃,挃,U+6303,zhì dié,zhi die,zhì,"31868.130:zhì,dié",(Cant.) to beat,"kMandarin,kHanyuPinyin"
挄,挄,U+6304,kuò guāng,kuo guang,kuò,"31868.160:kuò,guāng",,"kMandarin,kHanyuPinyin"
挈,挈,U+6308,qiè qì jiá qià shì,qie qi jia qia shi,qiè,"31863.010:qiè,qì,jiá,qià,shì","assist, help, lead by hand","kMandarin,kHanyuPinyin"
挌,挌,U+630C,gé hé,ge he,gé,"31874.040:gé,hé",fight,"kMandarin,kHanyuPinyin"
挎,挎,U+630E,kuà kū kōu,kua ku kou,kuà,"31868.040:kū,kuà,kōu",carry,"kMandarin,kHanyuPinyin"
挐,挐,U+6310,ná rú nú,na ru nu,ná,"31865.010:rú,nú,ná",drag,"kMandarin,kHanyuPinyin"
挑,挑,U+6311,tiāo tiǎo táo diào tiáo tiao,tiao tao diao,tiāo,"31872.040:tiǎo,tiāo,táo,diào,tiáo,tiao",a load carried on the shoulders; to carry,"kMandarin,kHanyuPinyin"
挕,挕,U+6315,dié shè,die she,dié,"31867.010:dié,shè",,"kMandarin,kHanyuPinyin"
挫,挫,U+632B,cuò zuò,cuo zuo,cuò,"31885.030:cuò,zuò",push down; chop down; grind,"kMandarin,kHanyuPinyin"
挲,挲,U+6332,sā suō shā,sa suo sha,sā,"31877.100:suō,shā",to feel or fondle with the fingers,"kMandarin,kHanyuPinyin"
挻,挻,U+633B,shān yán,shan yan,shān,"31871.060:shān,yán",,"kMandarin,kHanyuPinyin"
挼,挼,U+633C,ruá ruó suī luò,rua ruo sui luo,ruá,"31886.010:ruó,suī,luò,ruá","rub, stroke with hands; crumple","kMandarin,kHanyuPinyin"
挟,挾,U+633E,xié jiā,xie jia,xié,"31880.020:xié,jiā",clasp under arm; hold to bosom,"kMandarin,kHanyuPinyin"
捁,捁,U+6341,jiǎo kù,jiao ku,jiǎo,"31884.060:jiǎo,kù",,"kMandarin,kHanyuPinyin"
捄,捄,U+6344,jiù jū qiú,jiu ju qiu,jiù,"31878.020:jū,qiú,jiù",long and curved,"kMandarin,kHanyuPinyin"
捆,捆,U+6346,kǔn hún,kun hun,kǔn,"31882.050:kǔn,hún","tie up; bind, truss up; bundle","kMandarin,kHanyuPinyin"
捇,捇,U+6347,huò chì,huo chi,huò,"31877.160:huò,chì",,"kMandarin,kHanyuPinyin"
捈,捈,U+6348,tú shū chá,tu shu cha,tú,"31884.190:tú,shū,chá",,"kMandarin,kHanyuPinyin"
捊,捊,U+634A,póu pōu fū,pou fu,póu,"31884.180:póu,pōu,fū",,"kMandarin,kHanyuPinyin"
捋,捋,U+634B,lǚ luō,lu luo,lǚ,"31885.050:luō,lǚ",to pluck; to gather in the fingers; to rub; to scrape off,"kMandarin,kHanyuPinyin"
捌,捌,U+634C,bā bié,ba bie,bā,"31883.050:bā,bié","break open, split open; an accounting version of the numeral eight","kMandarin,kHanyuPinyin"
捍,捍,U+634D,hàn xiàn gǎn,han xian gan,hàn,"31881.050:hàn,xiàn,gǎn","ward off, guard against, defend","kMandarin,kHanyuPinyin"
捎,捎,U+634E,shāo shǎo xiāo qiào shào,shao xiao qiao,shāo,"31881.040:shāo,shǎo,xiāo,qiào,shào",to select; to take; to carry,"kMandarin,kHanyuPinyin"
捐,捐,U+6350,juān yuán,juan yuan,juān,"31877.020:juān,yuán","contribute; give up, renounce","kMandarin,kHanyuPinyin"
捒,捒,U+6352,shù sōu sǒng,shu sou song,shù,"31878.060:shù,sōu,sǒng",,"kMandarin,kHanyuPinyin"
捓,捓,U+6353,yé yú,ye yu,yé,"31868.110:yé,yú","strive, endeavor","kMandarin,kHanyuPinyin"
捔,捔,U+6354,jué zhuó,jue zhuo,jué,"31886.070:jué,zhuó","to gore, stab","kMandarin,kHanyuPinyin"
捖,捖,U+6356,wán guā,wan gua,wán,"31887.110:wán,guā",,"kMandarin,kHanyuPinyin"
捗,捗,U+6357,bù pú zhì,bu pu zhi,bù,"31881.020:bù,pú,zhì",make progress,"kMandarin,kHanyuPinyin"
捝,捝,U+635D,tuō shuì yǎn,tuo shui yan,tuō,"31887.070:tuō,shuì,yǎn",,"kMandarin,kHanyuPinyin"
捥,捥,U+6365,wàn wān wǎn yù,wan yu,wàn,"31907.020:wàn,wān,wǎn,yù",to bend the wrist,"kMandarin,kHanyuPinyin"
捧,捧,U+6367,pěng fèng,peng feng,pěng,"31890.080:pěng,fèng",hold up in two hands,"kMandarin,kHanyuPinyin"
捩,捩,U+6369,liè lì,lie li,liè,"31907.040:liè,lì","twist with hands; snap, tear","kMandarin,kHanyuPinyin"
捬,捬,U+636C,fǔ fù bǔ,fu bu,fǔ,"31904.010:fǔ,fù,bǔ",press down heavily with hands,"kMandarin,kHanyuPinyin"
捭,捭,U+636D,bǎi bā bǐ,bai ba bi,bǎi,"31899.010:bǎi,bā,bǐ",to open; to spread out,"kMandarin,kHanyuPinyin"
捰,捰,U+6370,wǒ luò luǒ,wo luo,wǒ,"31896.060:wǒ,luò,luǒ",,"kMandarin,kHanyuPinyin"
卷,捲,U+6372,juǎn quán juàn,juan quan,juǎn,"31906.030:quán,juǎn,juàn","curl, roll up; curly, rolled up","kMandarin,kHanyuPinyin"
捵,捵,U+6375,chēn tiǎn niǎn,chen tian nian,chēn,"31897.040:chēn,tiǎn,niǎn",(Cant.) to hold between the fingers and thumb,"kMandarin,kHanyuPinyin"
捶,捶,U+6376,chuí duǒ,chui duo,chuí,"31897.130:chuí,duǒ","strike with stick, lash, beat","kMandarin,kHanyuPinyin"
捷,捷,U+6377,jié qiè chā,jie qie cha,jié,"31894.020:jié,qiè,chā","win, victory, triumph","kMandarin,kHanyuPinyin"
捻,捻,U+637B,niǎn niē niān,nian nie,niǎn,"31901.030:niē,niǎn,niān",to twist or nip with the fingers,"kMandarin,kHanyuPinyin"
捼,捼,U+637C,ruó wō wěi ré,ruo wo wei re,ruó,"31898.030:ruó,wō,wěi,ré",to rub; to crumple,"kMandarin,kHanyuPinyin"
捽,捽,U+637D,zuó cù sū zùn,zuo cu su zun,zuó,"31904.030:zuó,cù,sū,zùn","clutch, grasp; pull up; contradict","kMandarin,kHanyuPinyin"
捾,捾,U+637E,wò xiá,wo xia,wò,"31906.080:wò,xiá",,"kMandarin,kHanyuPinyin"
掀,掀,U+6380,xiān hén,xian hen,xiān,"31899.030:xiān,hén","lift, raise; stir","kMandarin,kHanyuPinyin"
掇,掇,U+6387,duō duó zhuō,duo zhuo,duō,"31909.080:duó,zhuō","collect, gather up, pick up","kMandarin,kHanyuPinyin"
掉,掉,U+6389,diào nuó,diao nuo,diào,"31896.010:diào,nuó","turn, move; shake, wag; drop down","kMandarin,kHanyuPinyin"
掊,掊,U+638A,póu pǒu fù péi,pou fu pei,póu,"31904.050:póu,pǒu,fù,péi",to extract; injure,"kMandarin,kHanyuPinyin"
掎,掎,U+638E,jǐ yǐ,ji yi,jǐ,"31893.040:jǐ,yǐ","drag aside, pull; drag one foot","kMandarin,kHanyuPinyin"
排,排,U+6392,pái bài pǎi,pai bai,pái,"31895.030:pái,bài,pǎi","row, rank, line","kMandarin,kHanyuPinyin"
掔,掔,U+6394,qiān wàn,qian wan,qiān,"31889.010:qiān,wàn",sturdy,"kMandarin,kHanyuPinyin"
掘,掘,U+6398,jué kū,jue ku,jué,"31909.020:jué,kū","dig, excavate; excavate cave","kMandarin,kHanyuPinyin"
掜,掜,U+639C,yì nǐ nái niè,yi ni nai nie,yì,"31898.060:yì,nǐ,nái,niè",,"kMandarin,kHanyuPinyin"
掝,掝,U+639D,huò xù,huo xu,huò,"31892.080:huò,xù",,"kMandarin,kHanyuPinyin"
掞,掞,U+639E,yàn shàn yǎn,yan shan,yàn,"31906.060:shàn,yàn,yǎn","easy, smooth; quiet; suave","kMandarin,kHanyuPinyin"
掟,掟,U+639F,zhěng dìng,zheng ding,zhěng,"31906.070:zhěng,dìng","law, commandments, regulations; (Cant.) to throw","kMandarin,kHanyuPinyin"
探,探,U+63A2,tàn xián,tan xian,tàn,"31907.060:tàn,xián","find, locate; search, grope for","kMandarin,kHanyuPinyin"
接,接,U+63A5,jiē xié shà chā,jie xie sha cha,jiē,"31905.010:jiē,xié,shà,chā",receive; continue; catch; connect,"kMandarin,kHanyuPinyin"
控,控,U+63A7,kòng kōng qiāng,kong qiang,kòng,"31906.090:kòng,kōng,qiāng","accuse, charge; control","kMandarin,kHanyuPinyin"
措,措,U+63AA,cuò zé cì,cuo ze ci,cuò,"31891.030:cuò,zé,cì","place; collect, arrange; employ","kMandarin,kHanyuPinyin"
掫,掫,U+63AB,zhōu zōu chōu,zhou zou chou,zhōu,"31891.050:zōu,chōu,zhōu",be on night watch; grasp,"kMandarin,kHanyuPinyin"
掱,掱,U+63B1,pá shǒu,pa shou,pá,"31889.030:pá,shǒu",pickpocket,"kMandarin,kHanyuPinyin"
掾,掾,U+63BE,yuàn chuán,yuan chuan,yuàn,"31927.010:yuàn,chuán",a general designation of officials,"kMandarin,kHanyuPinyin"
揁,揁,U+63C1,zhēng kēng,zheng keng,zhēng,"31914.060:zhēng,kēng",sound of setting up a koto,"kMandarin,kHanyuPinyin"
揂,揂,U+63C2,jiū yóu,jiu you,jiū,"31921.030:jiū,yóu",,"kMandarin,kHanyuPinyin"
揃,揃,U+63C3,jiǎn jiān qiān,jian qian,jiǎn,"31923.130:jiǎn,jiān,qiān",shear; (Cant.) to skin an animal,"kMandarin,kHanyuPinyin"
揄,揄,U+63C4,yú chōu yóu shū yáo,yu chou you shu yao,yú,"31921.020:yú,chōu,yóu,shū,yáo","lift, raise; praise; hang; flap","kMandarin,kHanyuPinyin"
揈,揈,U+63C8,hōng hóng xuàn jū,hong xuan ju,hōng,"31922.060:hōng,hóng,xuàn,jū",to expel,"kMandarin,kHanyuPinyin"
揊,揊,U+63CA,pì chè,pi che,pì,"31913.050:pì,chè",,"kMandarin,kHanyuPinyin"
揌,揌,U+63CC,sāi cāi,sai cai,sāi,"31917.030:sāi,cāi",to shake,"kMandarin,kHanyuPinyin"
揍,揍,U+63CD,zòu còu,zou cou,zòu,"31911.040:còu,zòu","hit, beat; smash, break","kMandarin,kHanyuPinyin"
描,描,U+63CF,miáo mào,miao mao,miáo,"31892.030:miáo,mào","copy, trace, sketch; depict","kMandarin,kHanyuPinyin"
提,提,U+63D0,tí chí shí dǐ dī,ti chi shi di,tí,"31915.020:tí,chí,shí,dǐ,dī",hold in hand; lift in hand,"kMandarin,kHanyuPinyin"
插,插,U+63D2,chā zhǎ,cha zha,chā,"31918.050:chā,zhǎ","insert, stick into; plant","kMandarin,kHanyuPinyin"
揔,揔,U+63D4,zǒng sōng,zong song,zǒng,"31922.050:zǒng,sōng","collect; overall, altogether","kMandarin,kHanyuPinyin"
揖,揖,U+63D6,yī jí,yi ji,yī,"31916.010:yī,jí","salute, bow; defer to, yield","kMandarin,kHanyuPinyin"
揘,揘,U+63D8,yóng huáng,yong huang,yóng,"31920.030:yóng,huáng",,"kMandarin,kHanyuPinyin"
揝,揝,U+63DD,zǎn zuàn,zan zuan,zǎn,"31922.070:zǎn,zuàn","to hold in the hand, to grasp; to wring","kMandarin,kHanyuPinyin"
揞,揞,U+63DE,ǎn yàn yè,an yan ye,ǎn,"31923.070:ǎn,yàn,yè",to cover (with the hand),"kMandarin,kHanyuPinyin"
揟,揟,U+63DF,xū jū,xu ju,xū,"31926.060:xū,jū",,"kMandarin,kHanyuPinyin"
握,握,U+63E1,wò òu,wo ou,wò,"31925.070:wò,òu","grasp, hold fast, take by hand","kMandarin,kHanyuPinyin"
揢,揢,U+63E2,ké qiā,ke qia,ké,"31924.100:ké,qiā","to seize; (Cant.) to block, obstruct","kMandarin,kHanyuPinyin"
